Input,Output
"[0, 0, 2]","[0, 0, 0]"
"[0, 11, 1]","[0, 0, 0]"
"[1, 11, 0]","[0, 0, 0]"
"[10, 10, 0]","[0, 0, 0]"
"[0, 0, 2]","[0, 0, 0]"
"[0, 2, 12]","[0, 0, 2]"
"[1, 11, 2]","[0, 0, 0]"
"[2, 2, 10]","[0, 0, 0]"
"[10, 10, 2]","[0, 0, 0]"
"[0, 0, 2]","[0, 0, 0]"
"[1, 12, 11]","[0, 0, 2]"
"[0, 0, 2]","[0, 0, 0]"
"[2, 10, 12]","[0, 0, 2]"
"[0, 11, 1]","[0, 0, 0]"
"[1, 22, 11]","[0, 11, 1]"
"[0, 11, 1]","[0, 0, 0]"
"[2, 20, 12]","[0, 11, 1]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[10, 10, 2]","[0, 0, 0]"
"[20, 12, 20]","[10, 10, 2]"
"[0, 0, 2]","[0, 0, 0]"
"[1, 12, 11]","[0, 0, 2]"
"[11, 101, 20]","[1, 12, 11]"
"[0, 11, 1]","[0, 0, 0]"
"[1, 22, 11]","[0, 11, 1]"
"[2, 111, 21]","[1, 22, 11]"
"[0, 11, 1]","[0, 0, 0]"
"[2, 20, 12]","[0, 11, 1]"
"[11, 110, 21]","[2, 20, 12]"
"[0, 11, 1]","[0, 0, 0]"
"[2, 20, 12]","[0, 11, 1]"
"[20, 22, 100]","[2, 20, 12]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[12, 112, 12]","[11, 100, 1]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[20, 112, 11]","[11, 100, 1]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[100, 110, 12]","[12, 21, 10]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[12, 112, 22]","[11, 101, 10]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[20, 112, 11]","[11, 100, 1]"
"[101, 200, 21]","[20, 112, 11]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[101, 122, 101]","[21, 102, 21]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[12, 112, 22]","[11, 101, 10]"
"[101, 200, 102]","[12, 112, 22]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[102, 200, 101]","[20, 112, 21]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[20, 112, 11]","[11, 100, 1]"
"[101, 200, 21]","[20, 112, 11]"
"[111, 220, 101]","[101, 200, 21]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[101, 122, 101]","[21, 102, 21]"
"[110, 212, 112]","[101, 122, 101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[111, 212, 111]","[110, 120, 101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[102, 200, 101]","[20, 112, 21]"
"[111, 220, 112]","[102, 200, 101]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[1, 11, 0]","[0, 0, 0]"
"[11, 100, 1]","[1, 11, 0]"
"[20, 112, 11]","[11, 100, 1]"
"[101, 200, 21]","[20, 112, 11]"
"[111, 220, 101]","[101, 200, 21]"
"[200, 1002, 111]","[111, 220, 101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[121, 221, 202]","[112, 210, 112]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[200, 212, 202]","[112, 210, 112]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[111, 212, 111]","[110, 120, 101]"
"[200, 221, 200]","[111, 212, 111]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[111, 212, 111]","[110, 120, 101]"
"[121, 1010, 121]","[111, 212, 111]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[111, 212, 111]","[110, 120, 101]"
"[200, 1001, 121]","[111, 212, 111]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[200, 222, 201]","[112, 220, 111]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[121, 221, 202]","[112, 210, 112]"
"[202, 1001, 222]","[121, 221, 202]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[200, 212, 202]","[112, 210, 112]"
"[211, 1001, 220]","[200, 212, 202]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[111, 212, 111]","[110, 120, 101]"
"[121, 1010, 121]","[111, 212, 111]"
"[202, 1021, 210]","[121, 1010, 121]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[201, 1022, 212]","[121, 1011, 122]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[121, 221, 202]","[112, 210, 112]"
"[202, 1001, 222]","[121, 221, 202]"
"[221, 1020, 1010]","[202, 1001, 222]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[221, 1022, 1001]","[210, 1010, 212]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[222, 1020, 1002]","[210, 1010, 212]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[121, 221, 202]","[112, 210, 112]"
"[202, 1001, 222]","[121, 221, 202]"
"[1000, 1021, 1001]","[202, 1001, 222]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[201, 1022, 212]","[121, 1011, 122]"
"[212, 1112, 1000]","[201, 1022, 212]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[221, 1022, 1001]","[210, 1010, 212]"
"[1002, 1121, 1011]","[221, 1022, 1001]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[222, 1020, 1002]","[210, 1010, 212]"
"[1010, 1112, 1012]","[222, 1020, 1002]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[120, 210, 111]","[110, 120, 101]"
"[122, 221, 201]","[120, 210, 111]"
"[210, 1010, 212]","[122, 221, 201]"
"[221, 1022, 1001]","[210, 1010, 212]"
"[1010, 1121, 1010]","[221, 1022, 1001]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[22, 100, 22]","[12, 21, 10]"
"[110, 120, 101]","[22, 100, 22]"
"[112, 210, 112]","[110, 120, 101]"
"[121, 221, 202]","[112, 210, 112]"
"[202, 1001, 222]","[121, 221, 202]"
"[1000, 1021, 1001]","[202, 1001, 222]"
"[1011, 1121, 1010]","[1000, 1021, 1001]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[201, 1022, 212]","[121, 1011, 122]"
"[212, 1112, 1000]","[201, 1022, 212]"
"[221, 1211, 1011]","[212, 1112, 1000]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1202, 1022]","[1020, 1112, 1010]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[201, 1022, 212]","[121, 1011, 122]"
"[212, 1112, 1000]","[201, 1022, 212]"
"[221, 1211, 1011]","[212, 1112, 1000]"
"[1011, 2000, 1022]","[221, 1211, 1011]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1, 11, 2]","[0, 0, 0]"
"[11, 101, 10]","[1, 11, 2]"
"[20, 112, 21]","[11, 101, 10]"
"[110, 200, 100]","[20, 112, 21]"
"[112, 220, 111]","[110, 200, 100]"
"[121, 1011, 122]","[112, 220, 111]"
"[201, 1022, 212]","[121, 1011, 122]"
"[212, 1112, 1000]","[201, 1022, 212]"
"[221, 1211, 1011]","[212, 1112, 1000]"
"[1011, 2000, 1022]","[221, 1211, 1011]"
"[1022, 2020, 1111]","[1011, 2000, 1022]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1121, 2022, 1122]","[1112, 2002, 1101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1121, 2110, 1111]","[1112, 2002, 1101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1200, 2101, 1111]","[1112, 2002, 1101]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1121, 2022, 1122]","[1112, 2002, 1101]"
"[1201, 2120, 1211]","[1121, 2022, 1122]"
"[10, 10, 0]","[0, 0, 0]"
"[12, 21, 10]","[10, 10, 0]"
"[21, 102, 21]","[12, 21, 10]"
"[102, 120, 102]","[21, 102, 21]"
"[120, 201, 120]","[102, 120, 102]"
"[122, 212, 210]","[120, 201, 120]"
"[210, 1001, 221]","[122, 212, 210]"
"[1001, 1021, 1000]","[210, 1001, 221]"
"[1020, 1112, 1010]","[1001, 1021, 1000]"
"[1101, 1211, 1020]","[1020, 1112, 1010]"
"[1112, 2002, 1101]","[1101, 1211, 1020]"
"[1121, 2110, 1111]","[1112, 2002, 1101]"
"[1201, 2122, 1202]","[1121, 2110, 1111]"
